trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
8ea07b86-6495-4411-89dd-cd6fef8d3dbf,13:28:00,13:28:00,AK_10007,5,,0,0,130460.5072017,0
8ea07b86-6495-4411-89dd-cd6fef8d3dbf,13:55:00,14:10:00,AK_10006,6,,0,0,155749.3002650,0
8ea07b86-6495-4411-89dd-cd6fef8d3dbf,14:35:00,14:35:00,AK_10005,7,,0,0,199629.8528400,0
8ea07b86-6495-4411-89dd-cd6fef8d3dbf,14:55:00,14:55:00,AK_10004,8,,0,0,239773.9489092,0
8ea07b86-6495-4411-89dd-cd6fef8d3dbf,15:10:00,15:10:00,AK_10003,9,,0,0,265240.9978855,0
8ea07b86-6495-4411-89dd-cd6fef8d3dbf,15:50:00,15:50:00,AK_10002,10,,0,0,323123.1272869,0
8ea07b86-6495-4411-89dd-cd6fef8d3dbf,16:11:00,16:11:00,AK_10001,11,,0,0,352842.5368245,0
8ea07b86-6495-4411-89dd-cd6fef8d3dbf,16:45:00,16:45:00,AK_10000,12,,0,0,375143.5138430,0
TRIP_1473604,17:47:00,17:47:00,AK_10000,1,,0,0,0.8100709,
TRIP_1473604,18:32:00,18:32:00,AK_10002,2,,0,0,52024.5870560,0
TRIP_1473604,19:22:00,19:22:00,AK_10003,3,,0,0,109906.6940211,0
TRIP_1473604,19:33:00,19:33:00,AK_10004,4,,0,0,135368.7933236,0
TRIP_1473604,19:53:00,19:53:00,AK_10005,5,,0,0,175513.0583429,0
TRIP_1473604,20:15:00,20:25:00,AK_10006,6,,0,0,219396.5680526,0
TRIP_1473604,20:49:00,20:49:00,AK_10007,7,,0,0,244688.7930423,0
TRIP_1473604,21:15:00,21:15:00,AK_10008,8,,0,0,276358.4895772,0
TRIP_1473604,21:35:00,21:35:00,STOP_1473500,9,,0,0,304350.1984349,0
af49a7ee-4f43-45b1-a371-09d05cd56119,13:20:00,13:20:00,AK_10000,1,,0,0,0.0000000,0
af49a7ee-4f43-45b1-a371-09d05cd56119,13:44:00,13:44:00,AK_10001,2,,0,0,22016.8949006,0
af49a7ee-4f43-45b1-a371-09d05cd56119,14:03:00,14:03:00,AK_10002,3,,0,0,71774.0933771,0
af49a7ee-4f43-45b1-a371-09d05cd56119,14:45:00,14:45:00,AK_10003,4,,0,0,178100.1668380,0
af49a7ee-4f43-45b1-a371-09d05cd56119,15:00:00,15:00:00,AK_10004,5,,0,0,308272.8117816,0
af49a7ee-4f43-45b1-a371-09d05cd56119,15:20:00,15:20:00,AK_10005,6,,0,0,476130.1834573,0
af49a7ee-4f43-45b1-a371-09d05cd56119,15:45:00,16:00:00,AK_10006,7,,0,0,687297.2871789,0
af49a7ee-4f43-45b1-a371-09d05cd56119,16:23:00,16:23:00,AK_10007,8,,0,0,916663.6514583,0
af49a7ee-4f43-45b1-a371-09d05cd56119,16:43:00,16:43:00,STOP_1473616,9,,0,0,1162173.5752970,0
af49a7ee-4f43-45b1-a371-09d05cd56119,17:40:00,17:40:00,AK_10015,10,,0,0,1442987.6723766,0
af49a7ee-4f43-45b1-a371-09d05cd56119,17:55:00,17:55:00,AK_10016,11,,0,0,1740736.4626856,0
af49a7ee-4f43-45b1-a371-09d05cd56119,18:44:00,18:44:00,AK_10017,12,,0,0,2056107.1427302,0
af49a7ee-4f43-45b1-a371-09d05cd56119,19:58:00,19:58:00,AK_10018,13,,0,0,2458278.7919223,0
af49a7ee-4f43-45b1-a371-09d05cd56119,21:02:00,21:02:00,AK_10019,14,,0,0,2918776.2221624,0
af49a7ee-4f43-45b1-a371-09d05cd56119,21:23:00,21:23:00,AK_10020,15,,0,0,3388146.9780717,0
af49a7ee-4f43-45b1-a371-09d05cd56119,22:20:00,22:20:00,STOP_1473715,16,,0,0,3881596.4928219,0
b0553212-fc5d-426a-9e9c-a76ebee4796f,05:05:00,05:05:00,AK_10006,1,,0,0,0.5627485,0
b0553212-fc5d-426a-9e9c-a76ebee4796f,05:30:00,05:30:00,AK_10005,2,,0,0,44021.8031235,0
